Designator,Mid X,Mid Y,Rotation,Layer
BT1,116.5,-82.0,0.0,top
D1,142.0,-104.73,90.0,top
D2,96.0,-104.77,90.0,top
R1,109.5,-105.45,0.0,top
R2,130.19,-104.0,0.0,top
